iso,year,gini
CZE,2012,26.1
CZE,2013,26.5
CZE,2014,25.9
CZE,2015,25.9
CZE,2016,25.4
CZE,2017,24.9
DEU,1991,29.2
DEU,1994,29.2
DEU,1995,28.9
DEU,1998,28.3
DEU,2000,28.8
DEU,2001,30.3
DEU,2002,29.9
DEU,2003,30
DEU,2004,30.4
DEU,2005,32.1
DEU,2006,31.3
DEU,2007,31.3
DEU,2008,31.1
DEU,2009,30.5
DEU,2010,30.2
DEU,2011,30.5
DEU,2013,31.1
DEU,2015,31.7
DEU,2016,31.9
DJI,2002,40
DJI,2012,45.1
DJI,2013,44.1
DJI,2017,41.6
DNK,1987,26.2
DNK,1992,24.7
DNK,1995,23
DNK,2000,23.8
DNK,2003,25.6
DNK,2004,24.9
DNK,2005,25.2
DNK,2006,25.9
DNK,2007,26.2
DNK,2008,25.2
DNK,2009,26.7
DNK,2010,27.2
DNK,2011,27.3
DNK,2012,27.8
DNK,2013,28.5
DNK,2014,28.4
DNK,2015,28.2
DNK,2016,28.2
DNK,2017,28.7
DOM,1986,47.8
DOM,1989,50.5
DOM,1992,51.4
DOM,1996,47.4
DOM,1997,48.9
DOM,2000,51.5
DOM,2001,50
DOM,2002,49.7
DOM,2003,52.1
DOM,2004,52.1
DOM,2005,50
DOM,2006,52
DOM,2007,48.9
DOM,2008,48.1
DOM,2009,48.9
DOM,2010,47.3
DOM,2011,47.7
DOM,2012,46.1
DOM,2013,47.7
DOM,2014,44.3
DOM,2015,45.2
DOM,2016,45.7
DOM,2017,42.2
DOM,2018,43.7
DZA,1988,40.2
DZA,1995,35.3
DZA,2011,27.6
ECU,1994,53.4
ECU,1999,58.6
ECU,2000,56.4
ECU,2003,53.4
ECU,2004,53.9
ECU,2005,53.1
ECU,2006,52.2
ECU,2007,53.3
ECU,2008,49.7
ECU,2009,48.4
ECU,2010,48.7
ECU,2011,45.9
ECU,2012,46.1
ECU,2013,46.9
ECU,2014,45
ECU,2015,46
ECU,2016,45
ECU,2017,44.7
ECU,2018,45.4
EGY,1990,32
EGY,1995,30.1
EGY,1999,32.8
EGY,2004,31.8
EGY,2008,31.1
EGY,2010,30.2
EGY,2012,28.3
EGY,2015,31.8
EGY,2017,31.5
ESP,1980,34.5
ESP,1985,34.4
ESP,1990,32
ESP,1995,36.7
ESP,2000,34.3
ESP,2003,31.8
ESP,2004,33.3
ESP,2005,32.4
ESP,2006,33.5
ESP,2007,34.1
ESP,2008,34.2
ESP,2009,34.9
ESP,2010,35.2
ESP,2011,35.7
ESP,2012,35.4
ESP,2013,36.2
ESP,2014,36.1
ESP,2015,36.2
ESP,2016,35.8
ESP,2017,34.7
EST,1993,39.5
EST,2003,37.2
EST,2004,33.6
EST,2005,33.4
EST,2006,33.7
EST,2007,31.2
EST,2008,31.9
EST,2009,31.4
EST,2010,32
EST,2011,32.5
