"","OriginCountry","Year","Stock_IDMC"
"327","CYP","2017","217000"
"328","CYP","2018","228000"
"329","CZE","2009",NA
"330","CZE","2010",NA
"331","CZE","2013",NA
"332","CZE","2018",NA
"333","DEU","2010",NA
"334","DEU","2011",NA
"335","DEU","2013",NA
"336","DEU","2016",NA
"337","DEU","2017",NA
"338","DEU","2018",NA
"339","DJI","2018",NA
"340","DMA","2011",NA
"341","DMA","2013",NA
"342","DMA","2015",NA
"343","DMA","2017",NA
"344","DMA","2018",NA
"345","DOM","2008",NA
"346","DOM","2009",NA
"347","DOM","2010",NA
"348","DOM","2011",NA
"349","DOM","2012",NA
"350","DOM","2013",NA
"351","DOM","2014",NA
"352","DOM","2015",NA
"353","DOM","2016",NA
"354","DOM","2017",NA
"355","DOM","2018",NA
"356","DZA","2008",NA
"357","DZA","2009",NA
"358","DZA","2010",NA
"359","DZA","2011",NA
"360","DZA","2012",NA
"361","DZA","2013",NA
"362","DZA","2014",NA
"363","DZA","2015",NA
"364","DZA","2016","2500"
"365","DZA","2017",NA
"366","DZA","2018",NA
"367","ECU","2008",NA
"368","ECU","2009",NA
"369","ECU","2010",NA
"370","ECU","2011",NA
"371","ECU","2012",NA
"372","ECU","2013",NA
"373","ECU","2014",NA
"374","ECU","2015",NA
"375","ECU","2016",NA
"376","ECU","2017",NA
"377","ECU","2018",NA
"378","EGY","2008",NA
"379","EGY","2010",NA
"380","EGY","2014",NA
"381","EGY","2015","78000"
"382","EGY","2016","78000"
"383","EGY","2017","82000"
"384","EGY","2018","97000"
"385","ERI","2009","10000"
"386","ERI","2010","10000"
"387","ERI","2011","10000"
"388","ERI","2012","10000"
"389","ERI","2013","10000"
"390","ERI","2014","10000"
"391","ESP","2010",NA
"392","ESP","2011",NA
"393","ESP","2012",NA
"394","ESP","2013",NA
"395","ESP","2014",NA
"396","ESP","2015",NA
"397","ESP","2016",NA
"398","ESP","2017",NA
"399","ESP","2018",NA
"400","ETH","2008",NA
"401","ETH","2009","350000"
"402","ETH","2010","300000"
"403","ETH","2011","350000"
"404","ETH","2012","350000"
"405","ETH","2013","316000"
"406","ETH","2014","397000"
"407","ETH","2015","450000"
"408","ETH","2016","258000"
"409","ETH","2017","1078000"
"410","ETH","2018","2137000"
"411","FIN","2008",NA
"412","FIN","2013",NA
"413","FIN","2018",NA
"414","FJI","2009",NA
"415","FJI","2010",NA
"416","FJI","2011",NA
"417","FJI","2012",NA
"418","FJI","2014",NA
"419","FJI","2016",NA
"420","FJI","2017",NA
"421","FJI","2018",NA
"422","FRA","2008",NA
"423","FRA","2009",NA
"424","FRA","2010",NA
"425","FRA","2011",NA
"426","FRA","2013",NA
"427","FRA","2014",NA
"428","FRA","2015",NA
"429","FRA","2016",NA
"430","FRA","2017",NA
"431","FRA","2018",NA
"432","FSM","2012",NA
"433","FSM","2015",NA
"434","GAB","2009",NA
"435","GAB","2010",NA
"436","GAB","2012",NA
"437","GAB","2013",NA
"438","GAB","2017",NA
"439","GBR","2009",NA
"440","GBR","2012",NA
"441","GBR","2013",NA
"442","GBR","2014",NA
"443","GBR","2015",NA
"444","GBR","2016",NA
"445","GBR","2017",NA
"446","GBR","2018",NA
"447","GEO","2009","240000"
"448","GEO","2010","257000"
"449","GEO","2011","270000"
"450","GEO","2012","280000"
"451","GEO","2013","207000"
"452","GEO","2014","233000"
"453","GEO","2015","239000"
"454","GEO","2016","208000"
"455","GEO","2017","289000"
"456","GEO","2018","293000"
"457","GHA","2008",NA
"458","GHA","2009",NA
"459","GHA","2010",NA
"460","GHA","2011",NA
"461","GHA","2013",NA
"462","GHA","2015",NA
"463","GHA","2016",NA
"464","GHA","2017",NA
"465","GHA","2018","5000"
"466","GIN","2008",NA
"467","GIN","2009",NA
"468","GIN","2010",NA
"469","GIN","2011",NA
"470","GIN","2013",NA
"471","GIN","2015",NA
"472","GIN","2016",NA
"473","GIN","2017",NA
"474","GIN","2018",NA
"475","GMB","2008",NA
"476","GMB","2009",NA
"477","GMB","2010",NA
"478","GMB","2012",NA
"479","GMB","2013",NA
"480","GMB","2016",NA
"481","GMB","2017",NA
"482","GMB","2018",NA
"483","GNB","2008",NA
"484","GNB","2010",NA
"485","GNB","2018",NA
"486","GRC","2009",NA
"487","GRC","2010",NA
"488","GRC","2013",NA
"489","GRC","2014",NA
"490","GRC","2015",NA
"491","GRC","2016",NA
"492","GRC","2017",NA
"493","GRC","2018",NA
"494","GRD","2017",NA
"495","GRD","2018",NA
"496","GRL","2017",NA
"497","GRL","2018",NA
"498","GTM","2008",NA
"499","GTM","2009",NA
"500","GTM","2010",NA
"501","GTM","2011",NA
"502","GTM","2012",NA
"503","GTM","2013","242000"
"504","GTM","2014","249000"
"505","GTM","2015","251000"
"506","GTM","2016","257000"
"507","GTM","2017","242000"
"508","GTM","2018","242000"
"509","GUM","2018",NA
"510","GUY","2008",NA
"511","GUY","2017",NA
"512","GUY","2018",NA
"513","HKG","2008",NA
"514","HKG","2009",NA
"515","HKG","2010",NA
"516","HKG","2016",NA
"517","HKG","2017",NA
"518","HKG","2018",NA
"519","HND","2008",NA
"520","HND","2009",NA
"521","HND","2010",NA
"522","HND","2011",NA
"523","HND","2014","29000"
"524","HND","2015","174000"
"525","HND","2016","190000"
"526","HND","2017","190000"
"527","HND","2018","190000"
"528","HRV","2009","2400"
"529","HRV","2010","2300"
"530","HRV","2011","2100"
"531","HRV","2012",NA
"532","HRV","2013",NA
"533","HRV","2014",NA
"534","HRV","2015",NA
"535","HRV","2017",NA
"536","HRV","2018",NA
"537","HTI","2008",NA
"538","HTI","2009",NA
"539","HTI","2010",NA
"540","HTI","2011",NA
"541","HTI","2012",NA
"542","HTI","2013",NA
"543","HTI","2014",NA
"544","HTI","2015",NA
"545","HTI","2016",NA
"546","HTI","2017",NA
"547","HTI","2018",NA
"548","HUN","2008",NA
"549","HUN","2010",NA
"550","HUN","2013",NA
"551","HUN","2014",NA
"552","HUN","2017",NA
"553","HUN","2018",NA
"554","IDN","2008",NA
"555","IDN","2009","70000"
"556","IDN","2010","200000"
"557","IDN","2011","180000"
"558","IDN","2012","170000"
"559","IDN","2013","90000"
"560","IDN","2014","84000"
"561","IDN","2015","6100"
"562","IDN","2016","7100"
"563","IDN","2017","13000"
"564","IDN","2018","16000"
"565","IND","2008",NA
"566","IND","2009","500000"
"567","IND","2010","650000"
"568","IND","2011","650000"
"569","IND","2012","1000000"
"570","IND","2013","526000"
"571","IND","2014","854000"
"572","IND","2015","612000"
"573","IND","2016","796000"
"574","IND","2017","806000"
"575","IND","2018","479000"
"576","IRL","2011",NA
"577","IRL","2015",NA
"578","IRL","2017",NA
"579","IRN","2009",NA
"580","IRN","2010",NA
"581","IRN","2012",NA
"582","IRN","2013",NA
"583","IRN","2014",NA
"584","IRN","2015",NA
"585","IRN","2016",NA
"586","IRN","2017",NA
"587","IRN","2018",NA
"588","IRQ","2008",NA
"589","IRQ","2009","2764000"
"590","IRQ","2010","2800000"
"591","IRQ","2011","2600000"
"592","IRQ","2012","2100000"
"593","IRQ","2013","2100000"
"594","IRQ","2014","3276000"
"595","IRQ","2015","3290000"
"596","IRQ","2016","3035000"
"597","IRQ","2017","2648000"
"598","IRQ","2018","1962000"
"599","ISL","2017",NA
"600","ISR","2009",NA
"601","ISR","2010",NA
"602","ISR","2011",NA
"603","ISR","2012",NA
"604","ISR","2013",NA
"605","ISR","2014",NA
"606","ISR","2015",NA
