iso,year,animal_em,drought_em,earthquake_em,epidemic_em,extremetemp_em,flood_em,fog_em,impact_em,insect_em,landslide_em,massmove_em,storm_em,volcano_em,wildfire_em,totaldeaths,totaldisasters,totaldamage
TUR,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,1983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1346,1,25000
TUR,1984,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,3,0
TUR,1985,0,0,2,0,0,0,0,0,0,0,0,0,0,1,13,3,0
TUR,1986,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,2,0
TUR,1987,0,0,0,1,1,0,0,0,0,0,0,0,0,0,41,2,0
TUR,1988,0,0,0,0,0,1,0,0,0,1,0,0,0,0,77,2,0
TUR,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,1990,0,0,0,0,0,2,0,0,0,0,0,0,0,0,69,2,150000
TUR,1991,0,0,0,0,0,1,0,0,0,0,0,1,0,0,43,2,25000
TUR,1992,0,0,1,0,0,0,0,0,0,0,1,0,0,0,914,2,750000
TUR,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,135,1,0
TUR,1994,0,0,0,0,1,0,0,0,0,0,0,1,0,0,30,2,0
TUR,1995,0,0,1,0,0,2,0,0,0,1,0,0,0,0,231,4,305300
TUR,1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,30000
TUR,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,1998,0,0,3,0,0,3,0,0,0,0,0,0,0,0,239,6,1550000
TUR,1999,0,0,6,0,0,0,0,0,0,0,0,0,0,0,17982,6,21000000
TUR,2000,0,0,2,0,1,1,0,0,0,0,0,0,0,2,16,6,41000
TUR,2001,0,0,2,0,1,3,0,0,0,1,0,0,0,0,50,7,25000
TUR,2002,0,0,1,0,0,1,0,0,0,0,0,1,0,0,86,3,95000
TUR,2003,0,0,4,0,0,1,0,0,0,0,0,0,0,0,186,5,135000
TUR,2004,0,0,3,0,1,3,0,0,0,0,0,3,0,0,85,10,0
TUR,2005,0,0,3,0,1,2,0,0,0,1,0,1,0,0,43,8,0
