"","Year","OriginCountry","flow"
"4769",2010,"ABW",2
"421",1979,"AFG",6787
"462",1980,"AFG",13200
"525",1981,"AFG",461
"589",1982,"AFG",17224
"657",1983,"AFG",11353
"726",1984,"AFG",2230
"797",1985,"AFG",9956
"871",1986,"AFG",-32154
"945",1987,"AFG",-2834
"1019",1988,"AFG",13175
"1110",1989,"AFG",12420
"1208",1990,"AFG",-5104
"1318",1991,"AFG",1036
"1439",1992,"AFG",14522
"1572",1993,"AFG",78654
"1716",1994,"AFG",34906
"1887",1995,"AFG",17659
"2064",1996,"AFG",18
"2247",1997,"AFG",60330
"2432",1998,"AFG",80015
"2617",1999,"AFG",-10119
"2805",2000,"AFG",320819
"2997",2001,"AFG",283207
"3186",2002,"AFG",245874
"3384",2003,"AFG",270049
"3584",2004,"AFG",237906
"3782",2005,"AFG",221589
"3980",2006,"AFG",189296
"4179",2007,"AFG",220593
"4376",2008,"AFG",260452
"4573",2009,"AFG",326518
"4770",2010,"AFG",363376
"4969",2011,"AFG",299567
"5170",2012,"AFG",293253
"5372",2013,"AFG",386106
"5575",2014,"AFG",446566
"5782",2015,"AFG",436596
"5992",2016,"AFG",470631
"6201",2017,"AFG",465576
"6409",2018,"AFG",347407
"1",1960,"AGO",1916
"2",1961,"AGO",0
"5",1962,"AGO",644
"8",1963,"AGO",147
"13",1964,"AGO",672
"26",1965,"AGO",489
"40",1966,"AGO",8096
"58",1967,"AGO",3100
"76",1968,"AGO",7527
"99",1969,"AGO",-5619
"124",1970,"AGO",7953
"153",1971,"AGO",-7212
"184",1972,"AGO",-1205
"216",1973,"AGO",1309
"242",1974,"AGO",-2051
"274",1975,"AGO",15570
"312",1976,"AGO",-17869
"345",1977,"AGO",984
"377",1978,"AGO",4629
"422",1979,"AGO",-346
"463",1980,"AGO",-1921
"526",1981,"AGO",10438
"590",1982,"AGO",-1961
"658",1983,"AGO",-11274
"727",1984,"AGO",10771
"798",1985,"AGO",-8832
"872",1986,"AGO",3072
"946",1987,"AGO",3046
"1020",1988,"AGO",11162
"1111",1989,"AGO",5161
"1209",1990,"AGO",1180
"1319",1991,"AGO",12724
"1440",1992,"AGO",6366
"1573",1993,"AGO",66177
"1717",1994,"AGO",9212
"1888",1995,"AGO",-10597
"2065",1996,"AGO",7283
"2248",1997,"AGO",26533
"2433",1998,"AGO",39899
"2618",1999,"AGO",39614
"2806",2000,"AGO",131479
"2998",2001,"AGO",188562
"3187",2002,"AGO",170534
"3385",2003,"AGO",191684
"3585",2004,"AGO",162720
"3783",2005,"AGO",161368
"3981",2006,"AGO",172357
"4180",2007,"AGO",166572
"4377",2008,"AGO",120157
"4574",2009,"AGO",174862
"4771",2010,"AGO",170673
"4970",2011,"AGO",160606
"5171",2012,"AGO",132438
"5373",2013,"AGO",231678
"5576",2014,"AGO",178817
"5783",2015,"AGO",150671
"5993",2016,"AGO",224071
"6202",2017,"AGO",146192
"6410",2018,"AGO",172402
"5577",2014,"AIA",2
"5784",2015,"AIA",0
"5994",2016,"AIA",0
"14",1964,"ALB",4
"27",1965,"ALB",7691
"41",1966,"ALB",0
"59",1967,"ALB",-627
"77",1968,"ALB",-149
"100",1969,"ALB",6200
"125",1970,"ALB",227
"154",1971,"ALB",-6683
"185",1972,"ALB",3135
"217",1973,"ALB",-577
"243",1974,"ALB",-2676
"275",1975,"ALB",0
"346",1977,"ALB",3377
"378",1978,"ALB",5365
"423",1979,"ALB",-6436
"464",1980,"ALB",9519
"527",1981,"ALB",-85
"591",1982,"ALB",197
"659",1983,"ALB",683
"728",1984,"ALB",-10524
"799",1985,"ALB",71
"873",1986,"ALB",8473
"947",1987,"ALB",7444
"1021",1988,"ALB",-3787
"1112",1989,"ALB",570
"1210",1990,"ALB",21880
"1320",1991,"ALB",-13807
"1441",1992,"ALB",17454
"1574",1993,"ALB",9801
"1718",1994,"ALB",8579
"1889",1995,"ALB",396
"2066",1996,"ALB",9887
"2249",1997,"ALB",36895
"2434",1998,"ALB",3128
"2619",1999,"ALB",24979
"2807",2000,"ALB",42955
"2999",2001,"ALB",83582
"3188",2002,"ALB",42172
"3386",2003,"ALB",73420
"3586",2004,"ALB",60854
"3784",2005,"ALB",81430
"3982",2006,"ALB",104814
"4181",2007,"ALB",131473
"4378",2008,"ALB",107107
"4575",2009,"ALB",93199
"4772",2010,"ALB",90102
"4971",2011,"ALB",103662
"5172",2012,"ALB",131346
"5374",2013,"ALB",154518
"5578",2014,"ALB",117487
"5785",2015,"ALB",125046
"5995",2016,"ALB",183223
"6203",2017,"ALB",171579
"6411",2018,"ALB",106535
"1719",1994,"AND",4
"1890",1995,"AND",0
"2067",1996,"AND",2
"2250",1997,"AND",-4
"2435",1998,"AND",2
"2620",1999,"AND",2
"2808",2000,"AND",0
"3000",2001,"AND",9431
"3189",2002,"AND",16052
"3387",2003,"AND",7581
"3587",2004,"AND",-2658
"3785",2005,"AND",15277
"3983",2006,"AND",1364
"4182",2007,"AND",4051
"4379",2008,"AND",0
"4576",2009,"AND",3374
"4773",2010,"AND",3374
"4972",2011,"AND",0
"5173",2012,"AND",892
"5375",2013,"AND",-1942
"5579",2014,"AND",3374
"5786",2015,"AND",4051
"5996",2016,"AND",-3368
"6204",2017,"AND",0
"6412",2018,"AND",1
"2251",1997,"ARE",3378
"2436",1998,"ARE",6773
"2621",1999,"ARE",0
"2809",2000,"ARE",26281
"3001",2001,"ARE",6546
"3190",2002,"ARE",17572
"3388",2003,"ARE",-9720
"3588",2004,"ARE",27391
"3786",2005,"ARE",11351
"3984",2006,"ARE",-12940
"4183",2007,"ARE",26335
"4380",2008,"ARE",9137
"4577",2009,"ARE",8888
"4774",2010,"ARE",15617
"4973",2011,"ARE",26383
"5174",2012,"ARE",33182
"5376",2013,"ARE",19314
"5580",2014,"ARE",27709
"5787",2015,"ARE",61654
"5997",2016,"ARE",28923
"6205",2017,"ARE",31887
"6413",2018,"ARE",36711
"465",1980,"ARG",6544
"528",1981,"ARG",0
"592",1982,"ARG",11185
"660",1983,"ARG",-10725
"729",1984,"ARG",0
"800",1985,"ARG",919
"874",1986,"ARG",97
"948",1987,"ARG",-483
"1022",1988,"ARG",-1223
"1113",1989,"ARG",6710
"1211",1990,"ARG",12685
"1321",1991,"ARG",2275
"1442",1992,"ARG",12830
"1575",1993,"ARG",-2754
"1720",1994,"ARG",10818
"1891",1995,"ARG",-7537
"2068",1996,"ARG",3573
"2252",1997,"ARG",-6281
"2437",1998,"ARG",14753
"2622",1999,"ARG",-1962
"2810",2000,"ARG",15621
"3002",2001,"ARG",-13057
"3191",2002,"ARG",45427
"3389",2003,"ARG",34932
"3589",2004,"ARG",44832
"3787",2005,"ARG",380
"3985",2006,"ARG",12201
"4184",2007,"ARG",35111
"4381",2008,"ARG",44726
"4578",2009,"ARG",31355
"4775",2010,"ARG",22370
"4974",2011,"ARG",35204
"5175",2012,"ARG",41306
"5377",2013,"ARG",40155
"5581",2014,"ARG",52660
"5788",2015,"ARG",58434
"5998",2016,"ARG",57253
"6206",2017,"ARG",25427
"6414",2018,"ARG",78578
"15",1964,"ARM",2557
"78",1968,"ARM",3376
"101",1969,"ARM",0
"126",1970,"ARM",0
"155",1971,"ARM",19729
"186",1972,"ARM",-16926
"347",1977,"ARM",7205
"379",1978,"ARM",-200
"424",1979,"ARM",5187
"466",1980,"ARM",-907
"529",1981,"ARM",0
"593",1982,"ARM",6777
"661",1983,"ARM",-6777
"730",1984,"ARM",0
"801",1985,"ARM",0
"875",1986,"ARM",2584
"949",1987,"ARM",-5946
"1023",1988,"ARM",-2506
"1114",1989,"ARM",-5415
"1212",1990,"ARM",0
"1322",1991,"ARM",0
"1443",1992,"ARM",6616
"1576",1993,"ARM",35980
"1721",1994,"ARM",51699
"1892",1995,"ARM",38796
"2069",1996,"ARM",20085
"2253",1997,"ARM",13832
"2438",1998,"ARM",891
"2623",1999,"ARM",27530
"2811",2000,"ARM",94579
"3003",2001,"ARM",101452
"3192",2002,"ARM",111869
"3390",2003,"ARM",183309
"3590",2004,"ARM",119345
"3788",2005,"ARM",105872
"3986",2006,"ARM",79694
"4185",2007,"ARM",133444
"4382",2008,"ARM",123458
"4579",2009,"ARM",135347
"4776",2010,"ARM",169122
"4975",2011,"ARM",185743
"5176",2012,"ARM",154170
"5378",2013,"ARM",87011
"5582",2014,"ARM",130658
"5789",2015,"ARM",174100
"5999",2016,"ARM",152523
"6207",2017,"ARM",114347
"6415",2018,"ARM",147873
"6000",2016,"ASM",5413
"6208",2017,"ASM",1
"2254",1997,"ATG",2
"2439",1998,"ATG",2
"2624",1999,"ATG",0
"2812",2000,"ATG",12089
"3004",2001,"ATG",18866
"3193",2002,"ATG",15186
"3391",2003,"ATG",10639
"3591",2004,"ATG",14954
"3789",2005,"ATG",-2047
"3987",2006,"ATG",11668
"4186",2007,"ATG",1453
"4383",2008,"ATG",4715
"4580",2009,"ATG",7286
"4777",2010,"ATG",11855
"4976",2011,"ATG",10962
"5177",2012,"ATG",14063
"5379",2013,"ATG",5619
"5583",2014,"ATG",26423
"5790",2015,"ATG",18505
"6001",2016,"ATG",22177
"6209",2017,"ATG",16956
"6416",2018,"ATG",16594
"1722",1994,"AUS",3374
"1893",1995,"AUS",-3372
"2070",1996,"AUS",0
"2255",1997,"AUS",2
"2440",1998,"AUS",-2
"2625",1999,"AUS",3374
"2813",2000,"AUS",5415
"3005",2001,"AUS",12120
"3194",2002,"AUS",16502
"3392",2003,"AUS",4809
"3592",2004,"AUS",9014
"3790",2005,"AUS",13189
"3988",2006,"AUS",9602
"4187",2007,"AUS",2130
"4384",2008,"AUS",8616
"4581",2009,"AUS",11661
"4778",2010,"AUS",453
"4977",2011,"AUS",11205
"5178",2012,"AUS",19313
"5380",2013,"AUS",12858
"5584",2014,"AUS",3605
"5791",2015,"AUS",14129
"6002",2016,"AUS",12947
"6210",2017,"AUS",-2004
"6417",2018,"AUS",-3663
"1723",1994,"AUT",8718
"1894",1995,"AUT",-989
"2071",1996,"AUT",6684
"2256",1997,"AUT",-6532
"2441",1998,"AUT",10709
"2626",1999,"AUT",-10953
"2814",2000,"AUT",-2924
"3006",2001,"AUT",3566
"3195",2002,"AUT",46567
"3393",2003,"AUT",12105
"3593",2004,"AUT",-10037
"3791",2005,"AUT",11797
"3989",2006,"AUT",11121
"4188",2007,"AUT",3871
"4385",2008,"AUT",8269
"4582",2009,"AUT",-4730
"4779",2010,"AUT",-2035
"4978",2011,"AUT",1366
"5179",2012,"AUT",8818
"5381",2013,"AUT",7802
"5585",2014,"AUT",8
"5792",2015,"AUT",-5782
"6003",2016,"AUT",16893
"6211",2017,"AUT",12266
"6418",2018,"AUT",-5170
"1444",1992,"AZE",5418
"1577",1993,"AZE",18203
"1724",1994,"AZE",34616
"1895",1995,"AZE",10545
"2072",1996,"AZE",25414
"2257",1997,"AZE",16167
"2442",1998,"AZE",56242
"2627",1999,"AZE",26923
"2815",2000,"AZE",147916
"3007",2001,"AZE",100129
"3196",2002,"AZE",130503
"3394",2003,"AZE",94565
"3594",2004,"AZE",98425
"3792",2005,"AZE",122641
"3990",2006,"AZE",84765
"4189",2007,"AZE",141067
"4386",2008,"AZE",113597
"4583",2009,"AZE",84942
"4780",2010,"AZE",105498
"4979",2011,"AZE",95726
"5180",2012,"AZE",101163
"5382",2013,"AZE",116971
"5586",2014,"AZE",107511
"5793",2015,"AZE",163474
"6004",2016,"AZE",185691
"6212",2017,"AZE",180540
"6419",2018,"AZE",108231
"28",1965,"BDI",5416
"42",1966,"BDI",-910
"187",1972,"BDI",23601
"218",1973,"BDI",4754
"244",1974,"BDI",-4650
"276",1975,"BDI",-9222
"313",1976,"BDI",-666
"348",1977,"BDI",-2043
"380",1978,"BDI",-246
"425",1979,"BDI",236
"467",1980,"BDI",-6001
"530",1981,"BDI",3058
"594",1982,"BDI",-734
"662",1983,"BDI",134
"731",1984,"BDI",267
"802",1985,"BDI",853
"876",1986,"BDI",-3240
"950",1987,"BDI",449
"1024",1988,"BDI",787
"1115",1989,"BDI",8068
"1213",1990,"BDI",3429
"1323",1991,"BDI",-625
"1445",1992,"BDI",5868
"1578",1993,"BDI",79367
"1725",1994,"BDI",17710
"1896",1995,"BDI",77780
"2073",1996,"BDI",68022
"2258",1997,"BDI",43726
"2443",1998,"BDI",2841
"2628",1999,"BDI",46292
"2816",2000,"BDI",151209
"3008",2001,"BDI",245292
"3197",2002,"BDI",167383
"3395",2003,"BDI",166653
"3595",2004,"BDI",204824
"3793",2005,"BDI",237792
"3991",2006,"BDI",231444
"4190",2007,"BDI",208333
"4387",2008,"BDI",233663
"4584",2009,"BDI",167674
"4781",2010,"BDI",230673
"4980",2011,"BDI",237641
"5181",2012,"BDI",183757
"5383",2013,"BDI",238939
"5587",2014,"BDI",282744
"5794",2015,"BDI",333989
"6005",2016,"BDI",375904
"6213",2017,"BDI",269373
"6420",2018,"BDI",251125
"1726",1994,"BEL",3374
"1897",1995,"BEL",2039
"2074",1996,"BEL",2412
"2259",1997,"BEL",2816
"2444",1998,"BEL",6775
"2629",1999,"BEL",-7264
"2817",2000,"BEL",8790
"3009",2001,"BEL",8692
"3198",2002,"BEL",4386
"3396",2003,"BEL",33981
"3596",2004,"BEL",3002
"3794",2005,"BEL",-5246
"3992",2006,"BEL",11059
"4191",2007,"BEL",13716
"4388",2008,"BEL",5043
"4585",2009,"BEL",-10525
"4782",2010,"BEL",15620
"4981",2011,"BEL",5650
"5182",2012,"BEL",1830
"5384",2013,"BEL",22387
"5588",2014,"BEL",10699
"5795",2015,"BEL",23230
"6006",2016,"BEL",13001
"6214",2017,"BEL",-2186
"6421",2018,"BEL",12317
"314",1976,"BEN",4
"381",1978,"BEN",3376
"426",1979,"BEN",0
"877",1986,"BEN",7826
"951",1987,"BEN",0
"1025",1988,"BEN",0
"1116",1989,"BEN",896
"1214",1990,"BEN",-8718
"1324",1991,"BEN",3374
"1446",1992,"BEN",0
"1579",1993,"BEN",20270
"1727",1994,"BEN",-8237
"1898",1995,"BEN",-5161
"2075",1996,"BEN",7855
"2260",1997,"BEN",16297
"2445",1998,"BEN",8756
"2630",1999,"BEN",-3458
"2818",2000,"BEN",48765
"3010",2001,"BEN",51852
"3199",2002,"BEN",56250
"3397",2003,"BEN",88261
"3597",2004,"BEN",92208
"3795",2005,"BEN",96363
"3993",2006,"BEN",128057
"4192",2007,"BEN",78752
"4389",2008,"BEN",94006
"4586",2009,"BEN",98150
"4783",2010,"BEN",107010
"4982",2011,"BEN",117396
"5183",2012,"BEN",83079
"5385",2013,"BEN",104014
"5589",2014,"BEN",131759
"5796",2015,"BEN",139875
"6007",2016,"BEN",157668
"6215",2017,"BEN",104909
"6422",2018,"BEN",92051
"732",1984,"BFA",7826
"803",1985,"BFA",2814
"878",1986,"BFA",-10191
"952",1987,"BFA",7377
"1117",1989,"BFA",3374
"1215",1990,"BFA",0
"1325",1991,"BFA",8717
"1447",1992,"BFA",13239
"1580",1993,"BFA",6272
"1728",1994,"BFA",7569
"1899",1995,"BFA",-2886
"2076",1996,"BFA",-1718
"2261",1997,"BFA",22938
"2446",1998,"BFA",4644
"2631",1999,"BFA",-12667
"2819",2000,"BFA",46272
"3011",2001,"BFA",16720
"3200",2002,"BFA",54948
"3398",2003,"BFA",46497
"3598",2004,"BFA",74013
"3796",2005,"BFA",85740
"3994",2006,"BFA",75534
"4193",2007,"BFA",80015
"4390",2008,"BFA",92846
"4587",2009,"BFA",62303
"4784",2010,"BFA",107621
"4983",2011,"BFA",73100
"5184",2012,"BFA",138001
"5386",2013,"BFA",157557
"5590",2014,"BFA",152509
"5797",2015,"BFA",133881
"6008",2016,"BFA",121432
"6216",2017,"BFA",99169
"6423",2018,"BFA",134514
"953",1987,"BGD",3374
"1026",1988,"BGD",6775
"1118",1989,"BGD",0
"1216",1990,"BGD",16196
"1326",1991,"BGD",-431
"1448",1992,"BGD",11402
"1581",1993,"BGD",11297
"1729",1994,"BGD",15544
"1900",1995,"BGD",14774
"2077",1996,"BGD",22844
"2262",1997,"BGD",-4978
"2447",1998,"BGD",25716
"2632",1999,"BGD",-7123
"2820",2000,"BGD",53830
"3012",2001,"BGD",105631
"3201",2002,"BGD",138759
"3399",2003,"BGD",139130
"3599",2004,"BGD",190490
"3797",2005,"BGD",139661
"3995",2006,"BGD",166827
"4194",2007,"BGD",200576
"4391",2008,"BGD",243401
"4588",2009,"BGD",217353
"4785",2010,"BGD",202252
"4984",2011,"BGD",240809
"5185",2012,"BGD",222559
"5387",2013,"BGD",293334
"5591",2014,"BGD",364142
"5798",2015,"BGD",337086
"6009",2016,"BGD",298766
"6217",2017,"BGD",196081
"6424",2018,"BGD",207464
"102",1969,"BGR",10640
"127",1970,"BGR",-4916
"156",1971,"BGR",311
"188",1972,"BGR",0
"219",1973,"BGR",0
"245",1974,"BGR",-620
"277",1975,"BGR",0
"382",1978,"BGR",5248
"468",1980,"BGR",5858
"531",1981,"BGR",-877
"595",1982,"BGR",-336
"663",1983,"BGR",-625
"733",1984,"BGR",-1088
"804",1985,"BGR",173
"879",1986,"BGR",-836
"954",1987,"BGR",-731
"1027",1988,"BGR",14841
"1119",1989,"BGR",11046
"1217",1990,"BGR",19942
"1327",1991,"BGR",-22929
"1449",1992,"BGR",3962
"1582",1993,"BGR",38746
"1730",1994,"BGR",515
"1901",1995,"BGR",-8642
"2078",1996,"BGR",24087
"2263",1997,"BGR",12567
"2448",1998,"BGR",29544
"2633",1999,"BGR",-12176
"2821",2000,"BGR",56609
"3013",2001,"BGR",49242
"3202",2002,"BGR",93715
"3400",2003,"BGR",108002
"3600",2004,"BGR",76254
"3798",2005,"BGR",97366
"3996",2006,"BGR",109666
"4195",2007,"BGR",63524
"4392",2008,"BGR",37263
"4589",2009,"BGR",20705
"4786",2010,"BGR",51178
"4985",2011,"BGR",59321
"5186",2012,"BGR",112900
"5388",2013,"BGR",82427
"5592",2014,"BGR",50868
"5799",2015,"BGR",42724
"6010",2016,"BGR",25551
"6218",2017,"BGR",49913
"6425",2018,"BGR",19854
"1218",1990,"BHR",6662
"1328",1991,"BHR",11085
"1450",1992,"BHR",96
"1583",1993,"BHR",-8725
"1731",1994,"BHR",1912
"1902",1995,"BHR",-1464
"2079",1996,"BHR",4965
"2264",1997,"BHR",17575
"2449",1998,"BHR",-1937
"2634",1999,"BHR",9231
"2822",2000,"BHR",11441
"3014",2001,"BHR",6784
"3203",2002,"BHR",23110
"3401",2003,"BHR",6737
"3601",2004,"BHR",11065
"3799",2005,"BHR",-88
"3997",2006,"BHR",37765
"4196",2007,"BHR",33624
"4393",2008,"BHR",5432
"4590",2009,"BHR",13203
"4787",2010,"BHR",24372
"4986",2011,"BHR",60174
"5187",2012,"BHR",59015
"5389",2013,"BHR",52020
"5593",2014,"BHR",58487
"5800",2015,"BHR",58380
"6011",2016,"BHR",55730
"6219",2017,"BHR",66741
"6426",2018,"BHR",23130
"2450",1998,"BHS",2
"2635",1999,"BHS",0
"2823",2000,"BHS",12809
"3015",2001,"BHS",4297
"3204",2002,"BHS",4767
"3402",2003,"BHS",2558
"3602",2004,"BHS",3106
"3800",2005,"BHS",2558
"3998",2006,"BHS",28909
"4197",2007,"BHS",1117
"4394",2008,"BHS",-1828
"4591",2009,"BHS",10160
"4788",2010,"BHS",7123
"4987",2011,"BHS",2189
"5188",2012,"BHS",14556
"5390",2013,"BHS",18321
"5594",2014,"BHS",21302
"5801",2015,"BHS",25529
"6012",2016,"BHS",24000
"6220",2017,"BHS",11913
"6427",2018,"BHS",16703
"1451",1992,"BIH",26430
"1584",1993,"BIH",100601
"1732",1994,"BIH",57496
"1903",1995,"BIH",-24735
"2080",1996,"BIH",35291
"2265",1997,"BIH",45062
"2451",1998,"BIH",54056
"2636",1999,"BIH",21819
"2824",2000,"BIH",60329
"3016",2001,"BIH",132886
"3205",2002,"BIH",139726
"3403",2003,"BIH",67915
"3603",2004,"BIH",64319
"3801",2005,"BIH",98402
"3999",2006,"BIH",66786
"4198",2007,"BIH",77997
"4395",2008,"BIH",103703
"4592",2009,"BIH",92969
"4789",2010,"BIH",114144
"4988",2011,"BIH",94223
"5189",2012,"BIH",103109
"5391",2013,"BIH",87452
"5595",2014,"BIH",145366
"5802",2015,"BIH",129167
"6013",2016,"BIH",137961
"6221",2017,"BIH",52143
"6428",2018,"BIH",81445
"1585",1993,"BLR",3374
"1733",1994,"BLR",11473
"1904",1995,"BLR",15906
"2081",1996,"BLR",4040
"2266",1997,"BLR",-2009
"2452",1998,"BLR",20086
"2637",1999,"BLR",-3012
"2825",2000,"BLR",81977
"3017",2001,"BLR",69014
"3206",2002,"BLR",95873
"3404",2003,"BLR",91396
"3604",2004,"BLR",106361
"3802",2005,"BLR",75114
"4000",2006,"BLR",114055
"4199",2007,"BLR",114268
"4396",2008,"BLR",141957
"4593",2009,"BLR",101043
"4790",2010,"BLR",136198
"4989",2011,"BLR",131681
"5190",2012,"BLR",125074
"5392",2013,"BLR",112089
"5596",2014,"BLR",165076
"5803",2015,"BLR",138899
"6014",2016,"BLR",167029
"6222",2017,"BLR",102479
"6429",2018,"BLR",57635
"1734",1994,"BLZ",10075
"1905",1995,"BLZ",0
"2082",1996,"BLZ",-4662
"2638",1999,"BLZ",15494
"2826",2000,"BLZ",2315
"3018",2001,"BLZ",13450
"3207",2002,"BLZ",4510
"3405",2003,"BLZ",22733
"3605",2004,"BLZ",6870
"3803",2005,"BLZ",8148
"4001",2006,"BLZ",3092
"4200",2007,"BLZ",3381
"4397",2008,"BLZ",16853
"4594",2009,"BLZ",6309
"4791",2010,"BLZ",18434
"4990",2011,"BLZ",27243
"5191",2012,"BLZ",16415
"5393",2013,"BLZ",17310
"5597",2014,"BLZ",20412
"5804",2015,"BLZ",14611
"6015",2016,"BLZ",17630
"6223",2017,"BLZ",17044
"6430",2018,"BLZ",22328
"2453",1998,"BMU",2
"2639",1999,"BMU",0
"2827",2000,"BMU",0
"3019",2001,"BMU",0
"3208",2002,"BMU",0
"3406",2003,"BMU",3374
"3606",2004,"BMU",2
"3804",2005,"BMU",8787
"4002",2006,"BMU",3374
"4792",2010,"BMU",2
"4991",2011,"BMU",7825
"5192",2012,"BMU",6775
"5394",2013,"BMU",2
"6016",2016,"BMU",4
"128",1970,"BOL",1599
"157",1971,"BOL",5343
"189",1972,"BOL",12720
"246",1974,"BOL",3827
"278",1975,"BOL",6813
"315",1976,"BOL",-1922
"469",1980,"BOL",2557
"532",1981,"BOL",-2551
"596",1982,"BOL",20382
"664",1983,"BOL",-20386
"734",1984,"BOL",0
"805",1985,"BOL",0
"880",1986,"BOL",0
"955",1987,"BOL",0
"1028",1988,"BOL",2
"1120",1989,"BOL",4706
"1219",1990,"BOL",9467
"1329",1991,"BOL",-5714
"1452",1992,"BOL",10635
"1586",1993,"BOL",553
"1735",1994,"BOL",30161
"1906",1995,"BOL",-16302
"2083",1996,"BOL",2106
"2267",1997,"BOL",3910
"2454",1998,"BOL",7186
"2640",1999,"BOL",11130
"2828",2000,"BOL",38854
"3020",2001,"BOL",23709
"3209",2002,"BOL",47255
"3407",2003,"BOL",48348
"3607",2004,"BOL",41550
"3805",2005,"BOL",35359
"4003",2006,"BOL",43485
"4201",2007,"BOL",78661
"4398",2008,"BOL",56577
"4595",2009,"BOL",46405
"4793",2010,"BOL",40304
"4992",2011,"BOL",92220
"5193",2012,"BOL",40584
"5395",2013,"BOL",74602
"5598",2014,"BOL",103191
"5805",2015,"BOL",63072
"6017",2016,"BOL",68701
"6224",2017,"BOL",6865
"6431",2018,"BOL",41484
"158",1971,"BRA",3377
"190",1972,"BRA",0
"470",1980,"BRA",7825
"533",1981,"BRA",0
"597",1982,"BRA",0
"665",1983,"BRA",0
"735",1984,"BRA",0
"806",1985,"BRA",0
"881",1986,"BRA",-2412
"956",1987,"BRA",-5411
"1029",1988,"BRA",0
"1121",1989,"BRA",8715
"1220",1990,"BRA",-1939
"1330",1991,"BRA",-6330
"1453",1992,"BRA",0
"1587",1993,"BRA",13567
"1736",1994,"BRA",8303
"1907",1995,"BRA",-4959
"2084",1996,"BRA",3335
"2268",1997,"BRA",3102
"2455",1998,"BRA",5599
"2641",1999,"BRA",-8977
"2829",2000,"BRA",22418
"3021",2001,"BRA",31996
"3210",2002,"BRA",32603
"3408",2003,"BRA",47102
"3608",2004,"BRA",30653
"3806",2005,"BRA",46750
"4004",2006,"BRA",41484
"4202",2007,"BRA",51014
"4399",2008,"BRA",18890
"4596",2009,"BRA",40816
"4794",2010,"BRA",33150
"4993",2011,"BRA",72793
"5194",2012,"BRA",50867
"5396",2013,"BRA",57896
"5599",2014,"BRA",72026
"5806",2015,"BRA",73646
"6018",2016,"BRA",117735
"6225",2017,"BRA",58239
"6432",2018,"BRA",105685
"1737",1994,"BRB",5415
"1908",1995,"BRB",-2039
"2085",1996,"BRB",-3372
"2269",1997,"BRB",3372
"2456",1998,"BRB",3374
"2642",1999,"BRB",-3372
"2830",2000,"BRB",17902
"3022",2001,"BRB",7399
"3211",2002,"BRB",18518
"3409",2003,"BRB",8470
"3609",2004,"BRB",5025
"3807",2005,"BRB",6144
"4005",2006,"BRB",4840
"4203",2007,"BRB",22229
"4400",2008,"BRB",2397
"4597",2009,"BRB",622
"4795",2010,"BRB",12511
"4994",2011,"BRB",14777
"5195",2012,"BRB",12569
"5397",2013,"BRB",25425
"5600",2014,"BRB",28409
"5807",2015,"BRB",13056
"6019",2016,"BRB",12760
"6226",2017,"BRB",15621
"6433",2018,"BRB",21070
"1909",1995,"BRN",5413
"3212",2002,"BRN",4
"3410",2003,"BRN",-2
"3610",2004,"BRN",0
"3808",2005,"BRN",7539
"4006",2006,"BRN",-7537
"4204",2007,"BRN",0
"4401",2008,"BRN",-2
"4598",2009,"BRN",0
"4796",2010,"BRN",2
"4995",2011,"BRN",2
"5196",2012,"BRN",0
"5398",2013,"BRN",0
"5601",2014,"BRN",2
"5808",2015,"BRN",5417
"6020",2016,"BRN",6777
"6227",2017,"BRN",3
"6434",2018,"BRN",5
"1331",1991,"BTN",10912
"1454",1992,"BTN",-1115
"1588",1993,"BTN",602
"1738",1994,"BTN",-94
"1910",1995,"BTN",5379
"2086",1996,"BTN",13571
"2270",1997,"BTN",-6225
"2457",1998,"BTN",13757
"2643",1999,"BTN",10724
"2831",2000,"BTN",42873
"3023",2001,"BTN",36141
"3213",2002,"BTN",26885
"3411",2003,"BTN",42654
"3611",2004,"BTN",22017
"3809",2005,"BTN",34113
"4007",2006,"BTN",46445
"4205",2007,"BTN",54620
"4402",2008,"BTN",71492
"4599",2009,"BTN",52790
"4797",2010,"BTN",58035
"4996",2011,"BTN",54588
"5197",2012,"BTN",47593
"5399",2013,"BTN",58808
"5602",2014,"BTN",54104
"5809",2015,"BTN",59135
"6021",2016,"BTN",32632
"6228",2017,"BTN",-11189
"6435",2018,"BTN",6451
"1122",1989,"BWA",5413
"1221",1990,"BWA",0
"1332",1991,"BWA",0
"1455",1992,"BWA",0
"1589",1993,"BWA",2
"1739",1994,"BWA",2556
"1911",1995,"BWA",1306
"2087",1996,"BWA",-5411
"2271",1997,"BWA",-1596
"2458",1998,"BWA",-2
"2644",1999,"BWA",-2265
"2832",2000,"BWA",5414
"3024",2001,"BWA",8110
"3214",2002,"BWA",5418
"3412",2003,"BWA",2272
"3612",2004,"BWA",9435
"3810",2005,"BWA",8040
"4008",2006,"BWA",23555
"4206",2007,"BWA",21126
"4403",2008,"BWA",3520
"4600",2009,"BWA",6340
"4798",2010,"BWA",39595
"4997",2011,"BWA",21133
"5198",2012,"BWA",11989
"5400",2013,"BWA",37489
"5603",2014,"BWA",45161
"5810",2015,"BWA",34886
"6022",2016,"BWA",27664
"6229",2017,"BWA",35465
"6436",2018,"BWA",23843
"598",1982,"CAF",1915
