"","OriginCountry","Year","Size"
"953","NGA",1986,3374
"954","NIC",1986,24227
"955","PAK",1986,2
"956","PHL",1986,10643
"957","POL",1986,15606
"958","PSE",1986,27416
"959","ROU",1986,21466
"960","RUS",1986,107
"961","RWA",1986,20860
"962","SDN",1986,30701
"963","SLV",1986,46184
"964","SOM",1986,9554
"965","SRB",1986,9583
"966","Stateless",1986,18597
"967","SYC",1986,3374
"968","SYR",1986,9618
"969","TCD",1986,64808
"970","TGO",1986,7825
"971","TIB",1986,1540
"972","TUN",1986,8717
"973","TUR",1986,13749
"974","UGA",1986,26660
"975","URY",1986,7537
"976","Various/Unknown",1986,327093
"977","VNM",1986,91932
"978","YEM",1986,9
"979","ZAF",1986,37341
"980","ZWE",1986,15725
"981","AFG",1987,26223
"982","AGO",1987,22073
"983","ALB",1987,18084
"984","ARG",1987,7537
"985","ARM",1987,7923
"986","BDI",1987,6550
"987","BEN",1987,7826
"988","BFA",1987,7826
"989","BGD",1987,3374
"990","BGR",1987,1538
"991","BOL",1987,2
"992","BRA",1987,2
"993","CAF",1987,2269
"994","CHL",1987,49564
"995","CHN",1987,4297
"996","CIV",1987,2
"997","COD",1987,41296
"998","COL",1987,7826
"999","CUB",1987,22280
"1000","CZE",1987,6600
"1001","DZA",1987,2
"1002","EGY",1987,10075
"1003","ERI",1987,2477
"1004","ESH",1987,2429
"1005","ESP",1987,8718
"1006","ETH",1987,66201
"1007","GHA",1987,13090
"1008","GIN",1987,7826
"1009","GNB",1987,11202
"1010","GTM",1987,27964
"1011","HND",1987,2
"1012","HTI",1987,17904
"1013","HUN",1987,5858
"1014","IDN",1987,19693
"1015","IRN",1987,65714
"1016","IRQ",1987,19971
"1017","JOR",1987,6775
"1018","KHM",1987,34979
"1019","LAO",1987,16939
"1020","LBY",1987,4506
"1021","LKA",1987,10902
"1022","MAR",1987,3374
"1023","MOZ",1987,37429
"1024","MRT",1987,2
"1025","MWI",1987,7318
"1026","NAM",1987,66055
"1027","NGA",1987,5413
"1028","NIC",1987,45279
